"","OCCUPANCY_DATE","shelter_location_pair","capacity_actual_sum","capacity_funding_sum","occupied_sum","unoccupied_sum","unavailable_sum","occupancy_rate"
"635",21-06-08,"2 - 1066",18,73,18,0,55,1
"636",21-06-08,"82 - 1163",154,NA,18,136,NA,0.116883116883117
"637",21-06-09,"40 - 1114",124,237,111,13,113,0.895161290322581
"638",21-06-09,"53 - 1103",83,91,63,20,8,0.759036144578313
"639",21-06-09,"2 - 1066",18,73,18,0,55,1
"640",21-06-09,"82 - 1163",154,NA,17,137,NA,0.11038961038961
"641",21-06-10,"40 - 1114",122,237,111,11,115,0.909836065573771
"642",21-06-10,"53 - 1103",88,91,64,24,3,0.727272727272727
"643",21-06-10,"2 - 1066",18,73,18,0,55,1
"644",21-06-10,"82 - 1163",154,NA,13,141,NA,0.0844155844155844
"645",21-06-11,"40 - 1114",122,237,111,11,115,0.909836065573771
"646",21-06-11,"53 - 1103",88,91,63,25,3,0.715909090909091
"647",21-06-11,"2 - 1066",18,73,18,0,55,1
"648",21-06-11,"82 - 1163",154,NA,12,142,NA,0.0779220779220779
"649",21-06-12,"40 - 1114",122,237,112,10,115,0.918032786885246
"650",21-06-12,"53 - 1103",86,91,61,25,5,0.709302325581395
"651",21-06-12,"2 - 1066",18,73,18,0,55,1
"652",21-06-12,"82 - 1163",154,NA,11,143,NA,0.0714285714285714
"653",21-06-13,"40 - 1114",122,237,112,10,115,0.918032786885246
"654",21-06-13,"53 - 1103",84,91,61,23,7,0.726190476190476
"655",21-06-13,"2 - 1066",18,73,18,0,55,1
"656",21-06-13,"82 - 1163",154,NA,9,145,NA,0.0584415584415584
"657",21-06-14,"40 - 1114",121,237,110,11,116,0.909090909090909
"658",21-06-14,"53 - 1103",86,91,61,25,5,0.709302325581395
"659",21-06-14,"2 - 1066",19,73,19,0,54,1
"660",21-06-14,"82 - 1163",154,NA,8,146,NA,0.051948051948052
"661",21-06-15,"40 - 1114",119,237,108,11,118,0.907563025210084
"662",21-06-15,"53 - 1103",81,91,60,21,10,0.740740740740741
"663",21-06-15,"2 - 1066",19,73,19,0,54,1
"664",21-06-15,"82 - 1163",154,NA,8,146,NA,0.051948051948052
"665",21-06-16,"40 - 1114",126,302,118,8,176,0.936507936507937
"666",21-06-16,"53 - 1103",89,91,59,30,2,0.662921348314607
"667",21-06-16,"2 - 1066",19,73,19,0,54,1
"668",21-06-16,"82 - 1163",114,NA,5,109,NA,0.043859649122807
"669",21-06-17,"40 - 1114",127,302,119,8,175,0.937007874015748
"670",21-06-17,"53 - 1103",89,91,59,30,2,0.662921348314607
"671",21-06-17,"2 - 1066",20,73,20,0,53,1
"672",21-06-17,"82 - 1163",114,NA,4,110,NA,0.0350877192982456
"673",21-06-18,"40 - 1114",138,302,124,14,164,0.898550724637681
"674",21-06-18,"53 - 1103",89,91,60,29,2,0.674157303370786
"675",21-06-18,"2 - 1066",21,73,21,0,52,1
"676",21-06-18,"82 - 1163",115,NA,5,110,NA,0.0434782608695652
"677",21-06-19,"40 - 1114",138,302,128,10,164,0.927536231884058
"678",21-06-19,"53 - 1103",89,91,61,28,2,0.685393258426966
"679",21-06-19,"2 - 1066",21,73,21,0,52,1
"680",21-06-19,"82 - 1163",115,NA,3,112,NA,0.0260869565217391
"681",21-06-20,"40 - 1114",138,302,129,9,164,0.934782608695652
"682",21-06-20,"53 - 1103",89,91,61,28,2,0.685393258426966
"683",21-06-20,"2 - 1066",20,73,20,0,53,1
"684",21-06-20,"82 - 1163",115,NA,3,112,NA,0.0260869565217391
"685",21-06-21,"40 - 1114",142,302,132,10,160,0.929577464788732
"686",21-06-21,"53 - 1103",89,91,62,27,2,0.696629213483146
"687",21-06-21,"2 - 1066",20,73,20,0,53,1
"688",21-06-21,"82 - 1163",115,NA,3,112,NA,0.0260869565217391
"689",21-06-22,"40 - 1114",145,302,133,12,157,0.917241379310345
"690",21-06-22,"53 - 1103",88,91,61,27,3,0.693181818181818
"691",21-06-22,"2 - 1066",20,73,20,0,53,1
"692",21-06-22,"82 - 1163",115,NA,4,111,NA,0.0347826086956522
"693",21-06-23,"40 - 1114",144,302,132,12,158,0.916666666666667
"694",21-06-23,"53 - 1103",89,91,64,25,2,0.719101123595506
"695",21-06-23,"2 - 1066",20,73,19,1,53,0.95
"696",21-06-23,"82 - 1163",115,NA,4,111,NA,0.0347826086956522
"697",21-06-24,"40 - 1114",144,302,133,11,158,0.923611111111111
"698",21-06-24,"53 - 1103",88,91,64,24,3,0.727272727272727
"699",21-06-24,"2 - 1066",19,73,19,0,54,1
"700",21-06-24,"82 - 1163",115,NA,5,110,NA,0.0434782608695652
"701",21-06-25,"40 - 1114",151,302,135,16,151,0.894039735099338
"702",21-06-25,"53 - 1103",88,91,63,25,3,0.715909090909091
"703",21-06-25,"2 - 1066",19,73,19,0,54,1
"704",21-06-25,"82 - 1163",116,NA,6,110,NA,0.0517241379310345
"705",21-06-26,"40 - 1114",151,302,135,16,151,0.894039735099338
"706",21-06-26,"53 - 1103",88,91,63,25,3,0.715909090909091
"707",21-06-26,"2 - 1066",20,73,20,0,53,1
"708",21-06-26,"82 - 1163",117,NA,6,111,NA,0.0512820512820513
"709",21-06-27,"40 - 1114",151,302,135,16,151,0.894039735099338
"710",21-06-27,"53 - 1103",88,91,62,26,3,0.704545454545455
"711",21-06-27,"2 - 1066",20,73,20,0,53,1
"712",21-06-27,"82 - 1163",117,NA,6,111,NA,0.0512820512820513
"713",21-06-28,"40 - 1114",147,302,138,9,155,0.938775510204082
"714",21-06-28,"53 - 1103",86,91,62,24,5,0.720930232558139
"715",21-06-28,"2 - 1066",20,73,20,0,53,1
"716",21-06-28,"82 - 1163",118,NA,8,110,NA,0.0677966101694915
"717",21-06-29,"40 - 1114",147,302,140,7,155,0.952380952380952
"718",21-06-29,"53 - 1103",86,91,64,22,5,0.744186046511628
"719",21-06-29,"2 - 1066",23,73,23,0,50,1
"720",21-06-29,"82 - 1163",118,NA,8,110,NA,0.0677966101694915
"721",21-06-30,"40 - 1114",170,302,143,27,132,0.841176470588235
"722",21-06-30,"53 - 1103",88,91,63,25,3,0.715909090909091
"723",21-06-30,"2 - 1066",22,73,22,0,51,1
"724",21-06-30,"82 - 1163",118,NA,8,110,NA,0.0677966101694915
"725",21-07-01,"40 - 1114",170,302,147,23,132,0.864705882352941
"726",21-07-01,"53 - 1103",84,91,62,22,7,0.738095238095238
"727",21-07-01,"2 - 1066",20,73,20,0,53,1
"728",21-07-01,"82 - 1163",118,NA,8,110,NA,0.0677966101694915
"729",21-07-02,"40 - 1114",172,302,148,24,130,0.86046511627907
"730",21-07-02,"53 - 1103",85,91,63,22,6,0.741176470588235
"731",21-07-02,"2 - 1066",19,73,19,0,54,1
"732",21-07-02,"82 - 1163",118,NA,10,108,NA,0.0847457627118644
"733",21-07-03,"40 - 1114",172,302,151,21,130,0.877906976744186
"734",21-07-03,"53 - 1103",85,91,64,21,6,0.752941176470588
"735",21-07-03,"2 - 1066",20,73,20,0,53,1
"736",21-07-03,"82 - 1163",118,NA,9,109,NA,0.076271186440678
"737",21-07-04,"40 - 1114",172,302,150,22,130,0.872093023255814
"738",21-07-04,"53 - 1103",81,91,64,17,10,0.790123456790123
"739",21-07-04,"2 - 1066",19,73,19,0,54,1
"740",21-07-04,"82 - 1163",118,NA,9,109,NA,0.076271186440678
"741",21-07-05,"40 - 1114",172,302,152,20,130,0.883720930232558
"742",21-07-05,"53 - 1103",77,91,65,12,14,0.844155844155844
"743",21-07-05,"2 - 1066",19,73,19,0,54,1
"744",21-07-05,"82 - 1163",118,NA,8,110,NA,0.0677966101694915
"745",21-07-06,"40 - 1114",174,302,154,20,128,0.885057471264368
"746",21-07-06,"53 - 1103",78,91,66,12,13,0.846153846153846
"747",21-07-06,"2 - 1066",19,73,19,0,54,1
"748",21-07-06,"82 - 1163",118,NA,11,107,NA,0.0932203389830508
"749",21-07-07,"40 - 1114",174,302,154,20,128,0.885057471264368
"750",21-07-07,"53 - 1103",80,91,64,16,11,0.8
"751",21-07-07,"2 - 1066",20,73,19,1,53,0.95
"752",21-07-07,"82 - 1163",66,NA,8,58,NA,0.121212121212121
"753",21-07-08,"40 - 1114",172,302,155,17,130,0.901162790697674
